date,home_team,away_team,home_goals,away_goals,season
Fri. 22,Victoria,Trinity Western,3,1,2025-26
Fri. 22,UBC,UFV,2,1,2025-26
Fri. 22,UNBC,Thompson Rivers,2,1,2025-26
Sat. 23,Calgary,MacEwan,4,1,2025-26
Sat. 23,Mount Royal,Alberta,3,1,2025-26
Sat. 23,Victoria,UFV,1,1,2025-26
Sat. 23,UBC,Trinity Western,2,1,2025-26
Sun. 24,Calgary,Alberta,1,2,2025-26
Sun. 24,UNBC,Thompson Rivers,2,1,2025-26
Sun. 24,Mount Royal,MacEwan,3,1,2025-26
Fri. 29,Saskatchewan,Mount Royal,1,2,2025-26
Fri. 29,Lethbridge,Calgary,2,3,2025-26
Fri. 29,UBCO,Victoria,1,2,2025-26
Fri. 29,Trinity Western,UNBC,2,3,2025-26
Fri. 29,Thompson Rivers,UBC,0,3,2025-26
Sat. 30,MacEwan,Alberta,2,2,2025-26
Sat. 30,UBCO,UBC,1,4,2025-26
Sat. 30,Trinity Western,UNBC,1,0,2025-26
Sat. 30,Thompson Rivers,Victoria,1,2,2025-26
Sun. 31,Saskatchewan,Calgary,0,1,2025-26
Sun. 31,Lethbridge,Mount Royal,0,0,2025-26
Fri. 5,UFV,Thompson Rivers,5,0,2025-26
Fri. 5,Victoria,UNBC,3,1,2025-26
Fri. 5,Trinity Western,UBCO,1,1,2025-26
Sat. 6,MacEwan,Saskatchewan,1,1,2025-26
Sat. 6,Calgary,Mount Royal,0,4,2025-26
Sat. 6,Alberta,Lethbridge,1,1,2025-26
Sat. 6,UFV,UBCO,4,0,2025-26
Sat. 6,Trinity Western,Thompson Rivers,3,0,2025-26
Sat. 6,Victoria,UNBC,1,1,2025-26
Sun. 7,MacEwan,Lethbridge,1,3,2025-26
Sun. 7,Alberta,Saskatchewan,2,0,2025-26
Fri. 12,Thompson Rivers,Lethbridge,1,1,2025-26
Fri. 12,UBCO,Calgary,1,6,2025-26
Fri. 12,UFV,MacEwan,3,0,2025-26
Fri. 12,UBC,Alberta,1,0,2025-26
Fri. 12,Trinity Western,Mount Royal,0,0,2025-26
Fri. 12,UNBC,Saskatchewan,1,3,2025-26
Sat. 13,UBCO,Lethbridge,0,1,2025-26
Sat. 13,Thompson Rivers,Calgary,0,4,2025-26
Sat. 13,UFV,Mount Royal,0,0,2025-26
Sat. 13,Trinity Western,MacEwan,3,2,2025-26
Sun. 14,UBC,Saskatchewan,3,1,2025-26
Sun. 14,Victoria,Alberta,1,0,2025-26
Sat. 20,Saskatchewan,Trinity Western,2,1,2025-26
Sat. 20,Calgary,UNBC,4,2,2025-26
Sat. 20,Alberta,UBCO,5,0,2025-26
Sat. 20,MacEwan,Thompson Rivers,0,1,2025-26
Sat. 20,Mount Royal,UBC,0,2,2025-26
Sat. 20,Lethbridge,Victoria,1,3,2025-26
Sun. 21,Saskatchewan,UFV,2,6,2025-26
Sun. 21,Calgary,Victoria,2,1,2025-26
Sun. 21,Lethbridge,UBC,2,4,2025-26
Sun. 21,Alberta,Thompson Rivers,1,0,2025-26
Sun. 21,MacEwan,UBCO,1,1,2025-26
Sun. 21,Mount Royal,UNBC,3,3,2025-26
Fri. 26,UNBC,UFV,1,3,2025-26
Fri. 26,UBC,Thompson Rivers,2,0,2025-26
Fri. 26,Victoria,UBCO,3,0,2025-26
Sat. 27,MacEwan,Mount Royal,0,2,2025-26
Sat. 27,UNBC,UFV,1,2,2025-26
Sat. 27,Alberta,Calgary,3,0,2025-26
Sat. 27,UBC,UBCO,5,0,2025-26
Sat. 27,Victoria,Thompson Rivers,2,0,2025-26
Sun. 28,MacEwan,Calgary,1,0,2025-26
Sun. 28,Lethbridge,Saskatchewan,2,1,2025-26
Sun. 28,Alberta,Mount Royal,0,1,2025-26
Fri. 3,UFV,Victoria,1,2,2025-26
Fri. 3,Trinity Western,UBC,0,2,2025-26
Sat. 4,UBCO,UNBC,3,2,2025-26
Sat. 4,Alberta,MacEwan,0,1,2025-26
Sat. 4,Calgary,Saskatchewan,0,1,2025-26
Sat. 4,Mount Royal,Lethbridge,0,3,2025-26
Sat. 4,Trinity Western,Victoria,0,1,2025-26
Sun. 5,UBCO,UNBC,0,3,2025-26
Sun. 5,UFV,UBC,0,0,2025-26
Sun. 5,Calgary,Lethbridge,1,1,2025-26
Sun. 5,Mount Royal,Saskatchewan,3,1,2025-26
